Line-ID,Population,ACCESSION,Species,Race,Latitude,Longitude,Altitude
CIM13451,J2Teo,CIM13451,Zea nicaraguensis,nicaraguensis,12.874,-86.914,15
G1,J2Teo,G1,Zea luxurians,Guatemala,14.247,-89.875,878
G3,J2Teo,G3,Zea luxurians,Guatemala,14.526,-89.662,895
G7,J2Teo,G7,Zea luxurians,Guatemala,14.530,-89.825,1037
G6,J2Teo,G6,Zea luxurians,Guatemala,14.538,-89.890,982
CIM9479,J2Teo,CIM9479,Zea mays ssp. huehuetenangensis,huehuetenango,15.667,-91.750,1300
H1,J2Teo,H1,Zea mays ssp. huehuetenangensis,huehuetenango,15.673,-91.792,1225
H2,J2Teo,H2,Zea mays ssp. huehuetenangensis,huehuetenango,15.692,-91.818,1025
JSG_RMM_LCL_483,J2Teo,JSG_RMM_LCL_483,Zea mays ssp. parviglumis,Balsas,16.324,-97.033,1272
JSG_RMM_LCL_486,J2Teo,JSG_RMM_LCL_486,Zea mays ssp. parviglumis,Balsas,16.349,-97.021,982
JSG_RMM_LCL_487,J2Teo,JSG_RMM_LCL_487,Zea mays ssp. parviglumis,Balsas,16.982,-99.283,590
JSG_RMM_LCL_568,J2Teo,JSG_RMM_LCL_568,Zea mays ssp. parviglumis,Balsas,17.172,-99.544,300
JLNCM_654,J2Teo,JLNCM_654,Zea mays ssp. parviglumis,Balsas,17.287,-99.483,740
JLNCM_657,J2Teo,JLNCM_657,Zea mays ssp. parviglumis,Balsas,17.397,-99.437,1150
JLNCM_649,J2Teo,JLNCM_649,Zea mays ssp. parviglumis,Balsas,17.454,-99.210,1020
JLNCM_646,J2Teo,JLNCM_646,Zea mays ssp. parviglumis,Balsas,17.760,-98.774,1580
FAC_P_87,J2Teo,FAC_P_87,Zea luxurians,luxurians,17.935,-96.468,80
JSG_593,J2Teo,JSG_593,Zea luxurians,luxurians,17.944,-96.462,83
JLNCM_643,J2Teo,JLNCM_643,Zea mays ssp. parviglumis,Balsas,18.253,-99.234,1183
JSG_RMM_LCL_511,J2Teo,JSG_RMM_LCL_511,Zea mays ssp. parviglumis,Balsas,18.388,-100.128,1110
JLHNM_661,J2Teo,JLHNM_661,Zea mays ssp. parviglumis,Balsas,18.417,-99.968,1746
JLHNM_664,J2Teo,JLHNM_664,Zea mays ssp. parviglumis,Balsas,18.500,-99.909,1524
JSG_RMM_LCL_495,J2Teo,JSG_RMM_LCL_495,Zea mays ssp. parviglumis,Balsas,18.505,-99.784,1890
JSG_LCL_672,J2Teo,JSG_LCL_672,Zea mays ssp. parviglumis,Balsas,18.610,-100.272,834
JSG_LCL_674,J2Teo,JSG_LCL_674,Zea mays ssp. parviglumis,Balsas,18.641,-100.357,1008
DMA_2008_1,J2Teo,DMA_2008_1,Zea mays ssp. parviglumis,Balsas,18.672,-98.831,1400
